Category,Message
Building Inspection Division,An emergency response has revealed a fire has caused damage to the building rendering the building unsafe and uninhabitable.
Disabled Access Division,"Side door facing kitchen is called accessible entrance but width, landing & hardware is not accessible."
Credit reporting,Incorrect information on credit report
Electrical Inspection Division,No central heating system in the apartment.  circuit breaker blow off if plug in heater.  afraid of fire hazard.
Mortgage,"Loan modification,collection,foreclosure"
Student loan,Repaying your loan
Mortgage,"Loan modification,collection,foreclosure"
Plumbing Inspection Division,246 texas leaking water onto 242-244 texas - rain water overflowing - still a problem.  complaint was received by edickson
Debt collection,Disclosure verification of debt
Mortgage,"Loan modification,collection,foreclosure"
Consumer Loan,Managing the loan or lease
Payday loan,Charged fees or interest I didn't expect
Payday loan,Received a loan I didn't apply for
Money transfers,Other transaction issues
Prepaid card,Adding money
Payday loan,Charged fees or interest I didn't expect
Disabled Access Division,"Accessibility code violations are entry door, bar, bathrooms, etc."
Mortgage,"Loan modification,collection,foreclosure"
Code Enforcement Section,Vacant building
Payday loan,Charged fees or interest I didn't expect
Inspection Services,Construction post 8pm (311 sr#12628690)
Credit card,Credit card protection / Debt protection
Other financial service,Fraud or scam
Money transfers,Other service issues
Department of Bldg Inspection,There is damage in her ceiling area.
Debt collection,Taking/threatening an illegal action
Payday loan,Charged fees or interest I didn't expect
Prepaid card,"Managing, opening, or closing account"
Debt collection,Cont'd attempts collect debt not owed
Electrical Inspection Division,"Electrical cord going across sidewalk, from house to camper, hazardous wiring."
Disabled Access Division,No elevator for disabled
Bank account or service,Problems caused by my funds being low
Credit reporting,Improper use of my credit report
Payday loan,Applied for loan/did not receive money
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,Vacant storefront
Other financial service,Lost or stolen check
Electrical Inspection Division,Electrical work without permit.  covered conduit without inspection.
Consumer Loan,Problems when you are unable to pay
Student loan,Dealing with my lender or servicer
Student loan,Problems when you are unable to pay
Prepaid card,"Managing, opening, or closing account"
Payday loan,Charged fees or interest I didn't expect
Inspection Services,Hvac machine at 3220 fulton st is causing noise and vibration to 795 8th ave apt 202.
Payday loan,Charged fees or interest I didn't expect
Housing Inspection Services,Clogged bathtub.
Money transfers,Money was not available when promised
Consumer Loan,Taking out the loan or lease
Credit card,Other
Department of Bldg Inspection,No heat.  radiators have been removed from all rooms except two. there is no heat in bldg.
Inspection Services,"330 divisadero st --- this building is getting it retrofitted and there is concrete sanding bellowing out into the sidewalk, there's thick concrete smudge and the concrete dust is everywhere. it started this morning 1/23/20 and they've been at it off and on. (311 sr#11983937)"
Disabled Access Division,Bathrooms not accessible; path of travel to restrooms not accessible; rear not accessible.
Debt collection,Improper contact or sharing of info
Credit card,APR or interest rate
Consumer Loan,Taking out the loan or lease
Inspection Services,"Unpermitted construction:  wood carried into the building, trucks parked outside, workers in the building for the last month."
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 106569 , serial no c06170568"
Inspection Services,"1st and harrison --- customer would like to complain about procedures (or lack thereof) for this building construction site. currently there is water falling down to street level from the site, and the crews at the scene are not preventing or guiding pedestrians away from it or providing a reasonable alternative. they crew is also not being supportive or friendly to the pedestrians encountering this hinderance. (sr #11906975)"
Student loan,Repaying your loan
Student loan,Repaying your loan
Consumer Loan,Problems when you are unable to pay
Credit card,Other
Student loan,Dealing with my lender or servicer
Code Enforcement Section,Expired permits. owner has not completed work and property has become blight. cunstruction fence has remain for years.
Credit card,Billing disputes
Consumer Loan,Shopping for a loan or lease
Other financial service,Customer service/Customer relations
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109383 , serial no 06f-4097"
Payday loan,Charged fees or interest I didn't expect
Inspection Services,"500 beale st. bayside village --- customer would like a call back regarding this complaint. 
customer states there are construction workers at this location doing renovation work on units inside the building. yesterday i saw 2 of the workers outside of my unit and they were violating the face covering. these 2 workers were not wearing face mask/covering. i ask them if they would put on a face covering, first they said yes and one of them was eating in the hallway. then i asked do you have a face mask and they said yes, but did not do anything to get a face mask/covering to put on. i ask can i record you and they said yes. then i recorded them. i ask can you please tell me why you are not wearing a mask and they just ingonored me. i then called bayside village emergency security number. they sent a security manager with a security guard. the security manager came and asked these 2 workers to wear a mask and they said yes but they had to go somewhere else to pick it up and then they"
